facility_kind,facility_id,pole_id,direction_degrees,install_date,replace_date,projected_x,projected_y,state_code,display_code,work_code,source_coordinate_system
audio_signal,24-0000015108,02-0000181054,180.0,20141001,20141001,208126.29783,541131.1747,1.0,1,1,seoul_projected_xy_unconverted
audio_signal,24-0000015109,02-0000181055,180.0,20141001,20141001,208107.89814,541135.1483,1.0,1,1,seoul_projected_xy_unconverted
audio_signal,24-0000019712,02-0000170004,,20220622,20220622,188732.20561,546166.48972,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000011560,02-0000160624,180.0,20150213,20150213,208868.1,546003.18124,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011557,02-0000180828,180.0,20150213,20150213,208864.075,545963.33124,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011578,02-0000081122,180.0,20141119,20141119,208247.00577,553470.88148,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011554,02-0000016091,180.0,20150213,20150213,208818.23791,545987.88179,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011576,02-0000180853,180.0,20150130,20150130,207852.31587,553468.16063,1.0,2,1,seoul_projected_xy_unconverted
audio_signal,24-0000007698,02-0000171371,0.0,20150620,20160820,210806.09134,542343.21935,1.0,2,6,seoul_projected_xy_unconverted
audio_signal,24-0000011572,02-0000180847,180.0,20150410,20150410,207594.94435,552482.3776,1.0,2,6,seoul_projected_xy_unconverted
