hotspot_fid,hotspot_id,source_year,legal_dong_code,site_code,district,place_name,display_name,accidents,casualties,deaths,serious_injuries,minor_injuries,reported_injuries,center_lng,center_lat,risk_score,risk_score_norm,risk_percentile,risk_level,risk_level_ko
6778983,2022040,2022,1130510200,11305004,서울특별시 강북구4,서울특별시 강북구 번동(새마을금고 부근),서울 강북구 번동(새마을금고 부근),7,9,1,6,2,0,127.039725166284,37.628534189502,43.0,0.1067,0.6628,medium,주의
6779000,2022040,2022,1130510100,11305005,서울특별시 강북구5,서울특별시 강북구 미아동(방천시장입구교차로 부근),서울 강북구 미아동(방천시장입구교차로 부근),7,8,1,6,1,0,127.03483992932,37.612290900905,42.0,0.0933,0.6542,medium,주의
6779115,2022040,2022,1130510100,11305006,서울특별시 강북구6,서울특별시 강북구 미아동(삼양동사거리 부근),서울 강북구 미아동(삼양동사거리 부근),7,7,1,6,0,0,127.020969811309,37.619626407334,41.0,0.08,0.6361,medium,주의
6779119,2022040,2022,1130510100,11305007,서울특별시 강북구7,서울특별시 강북구 미아동(삼성생명 부근),서울 강북구 미아동(삼성생명 부근),7,8,0,7,1,0,127.026598831672,37.625417700467,36.0,0.0133,0.3785,low,관심
6779365,2022040,2022,1130510100,11305008,서울특별시 강북구8,서울특별시 강북구 미아동(삼양입구사거리 부근),서울 강북구 미아동(삼양입구사거리 부근),7,8,0,7,1,0,127.029598560826,37.616957098093,36.0,0.0133,0.3785,low,관심
6779346,2022040,2022,1130510300,11305009,서울특별시 강북구9,서울특별시 강북구 수유동(국민마트 부근),서울 강북구 수유동(국민마트 부근),7,7,0,7,0,0,127.016965552919,37.643044881117,35.0,0.0,0.3196,low,관심
6778919,2022040,2022,1132010500,11320001,서울특별시 도봉구1,서울특별시 도봉구 쌍문동(이영수의원입구 부근),서울 도봉구 쌍문동(이영수의원입구 부근),9,13,0,9,4,0,127.034612917054,37.648704103413,49.0,0.1867,0.8065,high,고위험
6778879,2022040,2022,1132010600,11320002,서울특별시 도봉구2,서울특별시 도봉구 방학동(녹산교회 부근),서울 도봉구 방학동(녹산교회 부근),8,8,0,8,0,0,127.044255800566,37.666047386978,40.0,0.0667,0.5282,medium,주의
6779554,2022040,2022,1132010500,11320003,서울특별시 도봉구3,서울특별시 도봉구 쌍문동(도봉보건소교차로 부근),서울 도봉구 쌍문동(도봉보건소교차로 부근),7,8,0,8,0,0,127.038642446393,37.657012220339,39.0,0.0533,0.432,medium,주의
6779084,2022040,2022,1132010500,11320004,서울특별시 도봉구4,서울특별시 도봉구 쌍문동(쌍문주택은행 부근),서울 도봉구 쌍문동(쌍문주택은행 부근),7,8,0,7,1,0,127.03273935314,37.658250852995,36.0,0.0133,0.3785,low,관심
6779077,2022040,2022,1132010700,11320005,서울특별시 도봉구5,서울특별시 도봉구 창동(도봉구보건소 부근),서울 도봉구 창동(도봉구보건소 부근),7,7,0,7,0,0,127.049095298011,37.653267028751,35.0,0.0,0.3196,low,관심
6779298,2022040,2022,1132010500,11320006,서울특별시 도봉구6,서울특별시 도봉구 쌍문동(성북택시 부근),서울 도봉구 쌍문동(성북택시 부근),7,7,0,7,0,0,127.032597356484,37.644730253799,35.0,0.0,0.3196,low,관심
6779246,2022040,2022,1135010500,11350001,서울특별시 노원구1,서울특별시 노원구 상계동(노원역6번출구 부근),서울 노원구 상계동(노원역6번출구 부근),7,7,2,5,0,0,127.060656260979,37.653671186777,47.0,0.16,0.7893,medium,주의
6779076,2022040,2022,1135010300,11350002,서울특별시 노원구2,서울특별시 노원구 공릉동(서울동아의원 부근),서울 노원구 공릉동(서울동아의원 부근),7,9,1,6,2,0,127.078311053513,37.618943912732,43.0,0.1067,0.6628,medium,주의
6779363,2022040,2022,1135010600,11350003,서울특별시 노원구3,서울특별시 노원구 중계동(중계동45321 부근),서울 노원구 중계동(중계동45321 부근),7,9,0,8,1,0,127.07354371767,37.660027835117,40.0,0.0667,0.5282,medium,주의
6779100,2022040,2022,1135010500,11350004,서울특별시 노원구4,서울특별시 노원구 상계동(수락산역 부근),서울 노원구 상계동(수락산역 부근),7,8,0,7,1,0,127.055077070252,37.676724437784,36.0,0.0133,0.3785,low,관심
